Name,math_m,math_f,read_m,read_f,science_m,science_f,mathgap,readgap,sciencegap
Croatia,468.9075450143068,457.6798395869571,473.7706713723778,498.91461540807154,478.4604397187374,472.5653067933375,11.22770542734969,-25.14394403569372,5.895132925399878
Czechia,494.49559347446535,490.2669072430324,473.19186849650225,501.9770168591553,498.3496222442318,488.0061728297585,4.22868623143296,-28.785148362653047,10.343449414473298
Denmark,515.3374469332247,508.14621764211415,488.4153079790474,511.09379350992344,504.81371924703234,498.4619067033125,7.191229291110517,-22.67848553087606,6.351812543719859
Dominican Republic,326.88338199632875,331.5128563083184,343.20353697203075,372.4941530501709,332.4821084131658,330.4208631464636,-4.629474311989668,-29.290616078140147,2.061245266702201
Estonia,522.2500262087013,515.6685045410667,506.03562276219253,532.2658093363674,536.4458192225402,533.0213467814791,6.581521667634661,-26.230186574174866,3.4244724410610843
Finland,507.60407464799954,513.7844853922412,503.04914593452264,551.6984260982565,521.9620436806888,540.926448970191,-6.180410744241669,-48.64928016373386,-18.964405289502224
France,497.8059389618936,489.5851888290488,484.5058434406681,512.260835176579,496.02792185442587,495.0052914573352,8.220750132844842,-27.75499173591089,1.0226303970906656
Georgia,399.454266884936,412.0002119142942,374.4934823519338,432.7854849348687,402.64997516743927,419.43267756423995,-12.545945029358222,-58.29200258293491,-16.782702396800687
Germany,513.846987595269,496.0731950850146,500.3427739782274,518.390110417037,513.9753949659586,504.1357661826153,17.77379251025434,-18.047336438809623,9.839628783343244
Greece,454.7499437355126,455.26681304912154,448.8143154801819,484.82599363108756,450.42081967917017,458.9355511475263,-0.516869313608936,-36.01167815090565,-8.51473146835616
Hong Kong,549.3871426322596,544.9526994050968,512.5418337428735,540.8845901820988,522.9929989880948,523.8804446530104,4.434443227162774,-28.342756439225354,-0.8874456649156173
Hungary,481.20857849230975,471.8950024350576,455.23049564702023,482.70107461092215,477.5735458210875,476.4371016393205,9.313576057252135,-27.470578963901914,1.1364441817670468
Iceland,486.0785312288808,488.04310974312637,460.1519654972346,500.11502798976164,471.65896767194454,473.98340813677424,-1.9645785142455452,-39.96306249252706,-2.3244404648297063
Indonesia,386.0451314862437,387.8929742467778,386.8896924334113,409.7536396894473,401.44231125833363,405.0386923165723,-1.8478427605340926,-22.863947256036,-3.5963810582386486
Ireland,512.123537412098,494.35937929403775,515.11118223351,525.8558110011585,507.4500535189207,496.1149743119101,17.764158118060266,-10.744628767648464,11.335079207010608
Israel,472.25880989316585,464.6551387502962,467.53214382164145,490.4600296583376,468.9265572418734,465.26695293068593,7.6036711428696435,-22.927885836696134,3.659604311187479
Italy,498.5224926420531,478.92435923556,478.0568349720075,495.1058141278505,489.64705003961416,471.85765416836995,19.598133406493105,-17.04897915584303,17.78939587124421
Japan,539.5980427506779,526.1926364134167,508.8452886877912,521.7557942422549,544.706321414224,531.2896557150841,13.405406337261184,-12.910505554463668,13.416665699139912
Jordan,372.77870746320605,389.0471133804005,371.4263760865167,443.71663852225834,388.2278240665356,427.98377872833805,-16.268405917194457,-72.29026243574162,-39.755954661802434
"Korea, Republic of",522.3172624339635,526.7834068872612,496.7105579257079,535.430211765923,511.43547368636195,520.3075138421511,-4.466144453297716,-38.719653840215074,-8.872040155789193
Kosovo,366.64387315487363,357.433824971494,328.81692792972086,365.55825337597435,372.568274971956,382.6761826718613,9.210048183379627,-36.741325446253484,-10.107907699905297
Latvia,481.76028592752897,481.6851517167506,468.19952599002505,509.23139804285296,484.6103292785391,495.3290492220708,0.07513421077834437,-41.03187205282791,-10.71871994353171
Lebanon,410.91067511654967,387.1625455005723,340.03668429060605,352.4085134274496,388.72054228092105,385.32252848969523,23.748129615977348,-12.37182913684353,3.3980137912258215
Lithuania,478.8405338818076,479.04863935589435,454.35690755883167,490.9940830798991,471.9663822134057,479.5999666546414,-0.20810547408677849,-36.637175521067434,-7.633584441235655
Luxembourg,490.89151564761585,482.7162732529687,469.8212498248781,489.85120314635833,486.49871034918186,479.5549954755912,8.17524239464717,-20.029953321480207,6.943714873590636
Macao,538.3131729670017,547.9806279807469,490.89258810052723,525.3318963374538,524.5038147120417,532.5388683843231,-9.667455013745212,-34.43930823692659,-8.035053672281379
"Macedonia, Republic of",369.74110341712105,374.73091627492965,330.4977369214212,375.3305201799632,374.12647100292816,394.3499775262482,-4.989812857808602,-44.83278325854195,-20.223506523320054
Malta,475.8865495314987,477.94280402473163,426.94041725399927,468.8862918776889,460.8599614309758,471.25404651033233,-2.0562544932329274,-41.94587462368963,-10.394085079356557
